id,Artist,Duration,Song Title,Decade,Genre,Album
308,ABBA,222.89333,Dancing Queen,1970s,Disco,Arrival
309,Terry Jacks,209.90667,Seasons in the Sun,1970s,Pop,Seasons in the Sun
310,The Rolling Stones,206.33705,Angie,1970s,Rock,Goats Head Soup
311,Mungo Jerry,209.68,In The Summertime,1970s,Pop,In The Summertime
312,Queen,357.57333,Bohemian Rhapsody,1970s,Rock,A Night at the Opera
313,ABBA,163.96,Waterloo,1970s,Pop,Waterloo
314,Bee Gees,209.4,Night Fever,1970s,Disco,Saturday Night Fever (Soundtrack)
315,George McCrae,386.14667,Rock Your Baby,1970s,Disco,Rock Your Baby
316,Shocking Blue,185.14286,Venus,1970s,Rock,At Home
317,Boney M.,257.26667,Rivers of Babylon,1970s,Disco,Nightflight to Venus
318,Eagles,243.53914,Hotel California,1970s,Rock,Hotel California
319,Blondie,416.06667,Heart Of Glass,1970s,New Wave,Parallel Lines
320,Tony Orlando,199.66667,Tie a Yellow Ribbon 'Round the Ole Oak Tree,1970s,Pop,Tie a Yellow Ribbon Round the Ole Oak Tree
321,Chicago,293.93288,If You Leave Me Now,1970s,Rock,Chicago X
322,Gloria Gaynor,266.10667,I Will Survive,1970s,Disco,Love Tracks
323,Elton John,273.81333,Don't Go Breaking My Heart,1970s,Pop,Single
324,Don McLean,515.88304,American Pie,1970s,Folk Rock,American Pie
325,Simon & Garfunkel,293.42667,Bridge Over Troubled Water,1970s,Folk Rock,Bridge Over Troubled Water
326,Chic,229.22667,Le Freak,1970s,Disco,C'est Chic
327,Billy Swan,128.29333,I Can Help,1970s,Country,I Can Help
328,Lynn Anderson,190.7298,I Beg Your Pardon (I Never Promised You a Rose Garden),1970s,Country,Rose Garden
329,ABBA,251.8,Fernando,1970s,Pop,ABBA: The Album
330,Bee Gees,243.61333,How Deep Is Your Love,1970s,Pop,Saturday Night Fever (Soundtrack)
331,Bee Gees,302.06667,Tragedy,1970s,Disco,Spirits Having Flown
332,Rod Stewart,296.84,Maggie May,1970s,Rock,Every Picture Tells a Story
333,Elton John,234.10667,Crocodile Rock,1970s,Rock,Don't Shoot Me I'm Only the Piano Player
334,Donna Summer,282.67955,Hot Stuff,1970s,Disco,Bad Girls
335,Roberta Flack,282.48771,Killing Me Softly With His Song,1970s,Pop,Killing Me Softly
336,Bachman-Turner Overdrive,224.82621,You Ain't Seen Nothin' Yet,1970s,Rock,Not Fragile
337,Carly Simon,288.8098,You're so Vain,1970s,Pop,No Secrets
338,Hot Butter,151.90667,Popcorn,1970s,Electronic,Popcorn
339,Gerry Rafferty,311.61288,Baker Street,1970s,Rock,City to City
340,Patrick Hernandez,197.51955,Born to Be Alive,1970s,Disco,Born to Be Alive
341,Donna Summer,195.90667,I Feel Love,1970s,Disco,I Remember Yesterday
342,Bonnie Tyler,198.81333,It's a Heartache,1970s,Pop,It's a Heartache
343,ABBA,207.36,Sos,1970s,Pop,ABBA
344,M,116.93333,Pop Muzik,1970s,Pop,New York • London • Paris • Munich
345,The Rubettes,247.70667,Sugar Baby Love,1970s,Pop,Wear It's 'At
346,Norman Greenbaum,242.58621,Spirit In The Sky,1970s,Rock,Spirit In The Sky
347,Harry Nilsson,198.29333,Without You,1970s,Pop,Nilsson Schmilsson
348,Sweet,240.62667,The Ballroom Blitz,1970s,Rock,Desolation Boulevard
349,10cc,231.06667,I'm Not In Love,1970s,Rock,The Original Soundtrack
350,Led Zeppelin,334.55515,Whole Lotta Love,1970s,Rock,Led Zeppelin II
351,The Knack,313.13333,My Sharona,1970s,Rock,Get the Knack
352,Bee Gees,296.5867,Too Much Heaven,1970s,Pop,Spirits Having Flown
353,Rod Stewart,259.81342,DO YA THINK I'M SEXY? (Radio Edit)/(CONTENT!),1970s,Pop,Blondes Have More Fun
354,EXILE,291.30667,Kiss You All Over,1970s,Pop,All There Is
355,Wings,284.58667,Mull Of Kintyre,1970s,Rock,Non-album single
356,Anita Ward,212.14667,Ring My Bell,1970s,Disco,Songs of Love
357,Sweet,212.04,Fox On The Run,1970s,Rock,Desolation Boulevard
358,Lobo,251.94766,I'd Love You to Want Me,1970s,Pop,Of a Simple Man
359,Boney M.,205.89333,Daddy Cool,1970s,Disco,Take the Heat off Me
360,Michael Jackson,251.4,Don't Stop 'Til You Get Enough,1970s,Disco,Off the Wall
361,Steve Miller Band,217.8,The Joker,1970s,Rock,The Joker
362,The Moody Blues,316.06667,Nights In White Satin,1970s,Rock,Days of Future Passed
363,The Rolling Stones,228.66667,Brown Sugar,1970s,Rock,Sticky Fingers
364,John Travolta,215.26667,Summer Nights,1970s,Soundtrack,Grease (Soundtrack)
365,Boney M.,188.21288,Ma Baker,1970s,Disco,Love for Sale
366,Tom Jones,177.72,She's A Lady,1970s,Pop,She's a Lady
367,Frankie Valli,202,Grease,1970s,Soundtrack,Grease (Soundtrack)
368,Three Dog Night,197.90667,Joy To The World,1970s,Rock,Naturally
369,Commodores,400.24,Three Times A Lady,1970s,R&B,Natural High
370,The Rolling Stones,214.89333,Miss You,1970s,Rock,Some Girls
371,George Baker Selection,93.01333,Una Paloma Blanca,1970s,Pop,Paloma Blanca
372,The Kinks,244.34893,Lola,1970s,Rock,Lola Versus Powerman and the Moneygoround, Part One
373,Amii Stewart,225.2,Knock on Wood,1970s,Disco,Knock on Wood
374,Gilbert O'Sullivan,162.64,Get Down,1970s,Pop,I'm a Writer, Not a Fighter
375,The Manhattans,265.98667,Kiss and Say Goodbye,1970s,R&B,Kiss and Say Goodbye
376,Captain & Tennille,204.92,Love Will Keep Us Together,1970s,Pop,Love Will Keep Us Together
377,Neil Young,172.19873,Heart Of Gold,1970s,Rock,Harvest
378,Kate Bush,205.57333,Wuthering Heights,1970s,Pop,The Kick Inside
379,Patti LaBelle,220.55955,Lady Marmalade,1970s,R&B,Labelle
380,The Four Seasons,208.29288,December 1963 (Oh What A Night),1970s,Pop,Who Loves You
381,Tony Orlando & Dawn,176.86667,Knock Three Times,1970s,Pop,Tony Orlando & Dawn
382,Isaac Hayes,281.66667,Theme From Shaft,1970s,Funk,Shaft (Soundtrack)
383,Creedence Clearwater Revival,212.65333,Up Around the Bend,1970s,Rock,Cosmo's Factory
384,ABBA,244.96,Take A Chance On Me,1970s,Pop,ABBA: The Album
385,ABBA,186.42667,"Money, Money, Money",1970s,Pop,Arrival
386,Cliff Richard,254.8,We Don't Talk Anymore,1970s,Pop,I'm Nearly Famous
387,Shirley & Company,287.42485,"Shame, Shame, Shame",1970s,Disco,Shame, Shame, Shame
388,Andy Gibb,273.21424,SHADOW DANCING,1970s,Pop,Shadow Dancing
389,Debby Boone,234.97333,You Light up My Life,1970s,Pop,You Light Up My Life
390,B.J. Thomas,140.4556,Raindrops Keep Falling on My Head,1970s,Pop,Butch Cassidy and the Sundance Kid (Soundtrack)
391,Elton John,195.74667,Goodbye Yellow Brick Road,1970s,Rock,Goodbye Yellow Brick Road
392,Roberta Flack,260.66639,The First Time Ever I Saw Your Face,1970s,R&B,First Take
393,Kiss,269.58667,I Was Made For Lovin' You,1970s,Rock,Disco Single
394,Daniel Boone,181.42667,Beautiful Sunday,1970s,Pop,Beautiful Sunday
395,Stevie Wonder,252.42667,Superstition,1970s,R&B,Talking Book
396,The Bellamy Brothers,142.93333,Let Your Love Flow,1970s,Country,Let Your Love Flow
397,Barbra Streisand,231.16,The Way We Were,1970s,Pop,The Way We Were (Soundtrack)
398,Pussycat,274.52,Mississippi,1970s,Pop,First of All
399,Carpenters,222.36,(They Long To Be) Close To You,1970s,Pop,Close to You
400,The Hollies,251,The Air That I Breathe,1970s,Pop,The Air That I Breathe
401,Keith Richards,366.74766,(I Can't Get No) Satisfaction,1960s,Rock,None (Solo Single)
402,Roy Orbison,370.33438,"Oh, Pretty Woman",1960s,Rock,Oh Pretty Woman
403,The Beatles,431.33288,Hey Jude,1960s,Pop,Non-album single
404,The Beatles,144.85333,I Want To Hold Your Hand,1960s,Pop,I Want To Hold Your Hand
405,Procol Harum,237.69333,A Whiter Shade Of Pale,1960s,Rock,Procol Harum
406,Elvis Presley,150.66667,Are You Lonesome Tonight?,1960s,Rock,Elvis' Golden Records
407,Elvis Presley,194.22331,It's Now or Never,1960s,Rock,Elvis' Golden Records
408,The Beatles,140.66667,Help!,1960s,Pop,Help!
409,The Beatles,140.4,She Loves You,1960s,Pop,Single
410,Chubby Checker,142.84,Let's Twist Again,1960s,Rock,For 'Twist' Dancers
411,Pat Boone,155.02621,Speedy Gonzales,1960s,Pop,Single
412,The Righteous Brothers,213.98667,Unchained Melody,1960s,Pop,Just Once in My Life
413,The Beatles,125.66621,Yesterday,1960s,Pop,Help!
414,Frank Sinatra,154.07891,Strangers in the Night,1960s,Pop,Strangers in the Night
415,The Beatles,227.34472,All You Need Is Love,1960s,Pop,Magical Mystery Tour
416,Rocco Granata,167.54667,Marina,1960s,Pop,Marina
417,The Monkees,162.45279,I'm A Believer,1960s,Pop,More of The Monkees
418,Ben E. King,174,Stand by Me,1960s,R&B,Don't Play That Song!
419,Percy Faith,140.58667,"The Theme from ""A Summer Place""",1960s,Pop,A Summer Place
420,Chubby Checker,156.65633,The Twist,1960s,Rock,It's Pony Time
421,Ray Charles,252.85333,I Can't Stop Loving You,1960s,R&B,Modern Sounds in Country and Western Music
422,The Beatles,139.15383,I Feel Fine,1960s,Pop,Single
423,Petula Clark,197.32317,Downtown,1960s,Pop,Downtown
424,The Beatles,210.33333,"Hello, Goodbye",1960s,Pop,Magical Mystery Tour
425,The Beatles,187.14354,Get Back,1960s,Pop,Single
426,The Animals,267.77333,The House of the Rising Sun,1960s,Rock,The Animals
427,The Archies,165.56,Sugar Sugar,1960s,Pop,Everything's Archie
428,The Beatles,146.80789,A Hard Day's Night,1960s,Pop,A Hard Day's Night
429,The Tornados,217.26766,Telstar,1960s,Rock,Single
430,Elvis Presley,137.42667,(You're The) Devil in Disguise,1960s,Rock,Single
431,Bee Gees,143.29333,(The Lights Went Out In) MASSACHUSETTS,1960s,Pop,Horizontal
432,Nancy Sinatra,162.50776,These Boots Are Made For Walkin',1960s,Pop,Boots
433,Trini Lopez,178.86667,If I Had A Hammer,1960s,Folk,Trini Lopez Live at PJ's
434,The Beach Boys,296.18667,Good Vibrations,1960s,Rock,Smiley Smile
435,Elvis Presley,120,Return To Sender,1960s,Rock,Girls! Girls! Girls! (Soundtrack)
436,The Beatles,193.12,Ticket To Ride,1960s,Pop,Help!
437,Zager & Evans,196.2,In The Year 2525 (Exordius & Terminus),1960s,Pop,2525 (Exordium & Terminus)
438,The Beatles,180.89288,Penny Lane,1960s,Pop,Magical Mystery Tour
439,The Beatles,171.05574,Yellow Submarine,1960s,Pop,Revolver
440,The Beatles,141.76608,Paperback Writer,1960s,Pop,Single
441,Mary Hopkin,296.65333,Those Were The Days,1960s,Pop,Post Card
442,Elvis Presley,25.05098,Good Luck Charm,1960s,Rock,Single
443,The Rolling Stones,180.86667,HONKY TONK WOMEN,1960s,Rock,Single
444,Elvis Presley,110.63007,Surrender,1960s,Rock,Single
445,The Everly Brothers,147.61333,Cathy's Clown,1960s,Pop,Single
446,Gigliola Cinquetti,196.51918,Non Ho L'eta' ( Per Amarti ),1960s,Pop,Non ho l'età
447,Sam the Sham & The Pharaohs,140.74667,Wooly Bully,1960s,Rock,Wooly Bully
448,The Rolling Stones,134.77333,Paint It Black,1960s,Rock,Aftermath
449,Scott McKenzie,179.30667,San Francisco (Be Sure to Wear Flowers in Your Hair),1960s,Pop,The Voice Of Scott McKenzie
450,Chris Montez,30.06649,Let's Dance,1960s,Rock,Let's Dance
451,Elvis Presley,304.26667,Suspicious Minds,1960s,Rock,From Elvis in Memphis
452,The Byrds,148.90667,Mr. Tambourine Man,1960s,Rock,Mr. Tambourine Man
453,The Drifters,135.46667,Save The Last Dance For Me,1960s,R&B,Save The Last Dance For Me
454,Simon & Garfunkel,273.28,The Sounds Of Silence,1960s,Folk Rock,Wednesday Morning, 3 A.M.
455,Elvis Presley,183.82322,In The Ghetto,1960s,Rock,From Elvis in Memphis
456,Paul+Paula,153.63955,Hey Paula,1960s,Pop,Singles A's & B's
457,Rick Nelson,136,Hello Mary Lou,1960s,Rock,Single
458,Del Shannon,139.37333,Runaway,1960s,Rock,Runaway with Del Shannon
459,The Beatles,131.65714,Can't Buy Me Love,1960s,Rock,A Hard Day's Night
460,The Beatles,258.45655,Come Together,1960s,Rock,Abbey Road
461,Elvis Presley,61.92,Wooden Heart,1960s,Rock,G.I. Blues
462,The Beatles Sing Alongs,182.30621,The Ballad Of John & Yoko,1960s,Rock,Single
463,Sam Cooke,125.18812,Wonderful World,1960s,R&B,The Best of Sam Cooke
464,The Rolling Stones,220.3439,Jumpin' Jack Flash,1960s,Rock,Single
465,Edwin Hawkins Singers,302.57288,Oh Happy Day,1960s,Gospel,Let Us Go Into the House of the Lord
466,The Box Tops,112.87029,The Letter,1960s,Rock,The Letter/Neon Rainbow
467,The Mamas & The Papas,204.5341,Monday Monday,1960s,Pop,If You Can Believe Your Eyes and Ears
468,The Monkees,164.54485,Daydream Believer,1960s,Pop,The Birds, The Bees & The Monkees
469,Sandie Shaw,141.98667,Puppet On A String,1960s,Pop,Puppet on a String
470,Nini Rosso,186.41333,Il silenzio,1960s,Instrumental,Il silenzio
471,The Righteous Brothers,220.89333,You've Lost That Lovin' Feelin',1960s,R&B,Just Once in My Life
472,Tommy James & The Shondells,204.58621,Crimson & Clover,1960s,Rock,Crimson & Clover
473,Elvis Presley,183.40526,Can't Help Falling In Love,1960s,Rock,Blue Hawaii
474,Tom Jones,164.64,Delilah,1960s,Pop,Delilah
475,Barry Ryan,344.89333,Eloise,1960s,Pop,Eloise
476,Roy Orbison,156.8537,Only the Lonely,1960s,Rock,Lonely and Blue
477,The Doors,429.76,Light My Fire,1960s,Rock,The Doors
478,The Beatles,136.82621,Lady Madonna,1960s,Rock,Single
479,The Rolling Stones,173.77333,Get Off Of My Cloud,1960s,Rock,Single
480,The Ronettes,153.61288,Be My Baby,1960s,Pop,Presenting the Fabulous Ronettes Featuring Veronica
481,Otis Redding,163.75578,(Sittin' On) The Dock Of The Bay,1960s,R&B,The Dock of the Bay
482,Little Eva,108.08889,The Loco-Motion,1960s,R&B,Loco Motion
483,The Rolling Stones,189.68,The Last Time,1960s,Rock,Single
484,Louis Armstrong,152.50667,Hello Dolly,1960s,Jazz,Hello, Dolly!
485,Bobby Vinton,227.43946,Roses are Red,1960s,Pop,Roses Are Red
486,Elvis Presley,25.05098,Stuck on You,1960s,Rock,Elvis Is Back!
487,The Marcels,136.96,Blue Moon,1960s,Doo-Wop,Blue Moon
488,The Fifth Dimension,294.85714,Aquarius / Let the Sunshine In (The Flesh Failures),1960s,Pop,The Age of Aquarius
489,Nancy Sinatra,228.78041,Somethin' Stupid (with Frank Sinatra),1960s,Pop,Nancy & Lee
490,John Fred & His Playboy Band,171.86667,Judy In Disguise,1960s,Rock,Single
491,Creedence Clearwater Revival,248.68,Proud Mary,1960s,Rock,Bayou Country
492,The Beatles,248.93288,Strawberry Fields Forever,1960s,Rock,Magical Mystery Tour
493,Elvis Presley,123.94463,She's Not You,1960s,Rock,Single
494,The Supremes,160.66667,Where Did Our Love Go,1960s,R&B,Where Did Our Love Go
495,Kingsmen,124.55764,Louie Louie,1960s,Rock,The Kingsmen
496,The Beatles,160.75859,Michelle,1960s,Rock,Rubber Soul
497,Ned Miller,131.30503,From A Jack To A King,1960s,Country,From a Jack to a King
498,Tom Jones,150.76571,Green Green Grass of Home,1960s,Pop,Green, Green Grass of Home
499,Bob Dylan,186.65288,Like a Rolling Stone,1960s,Rock,Highway 61 Revisited
500,The Beach Boys,186.86667,Sloop John B,1960s,Rock,Pet Sounds
502,Elvis Presley,98.05333,Jailhouse Rock,1950s,Rock,Jailhouse Rock
503,Jo Stafford,92.86,You Belong to Me,1950s,Pop,Starring Jo Stafford
504,Doris Day,128.33333,Que Sera, Sera,1950s,Pop,Day by Day / Day by Night
505,Bobby Darin,187.12376,Mack The Knife,1950s,Pop,That's All
506,The Kingston Trio,148.66667,Tom Dooley,1950s,Folk,The Kingston Trio
507,Anton Karas,131.21333,The Third Man Theme,1950s,Soundtrack,The Third Man
508,Al Martino,192.45333,Here In My Heart,1950s,Pop,Here in My Heart
509,Les Paul & Mary Ford,173.24245,Vaya Con Dios,1950s,Jazz,Les Paul & Mary Ford's Greatest Hits
510,Fats Domino,30.06649,Blueberry Hill,1950s,Rock,This Is Fats Domino!
511,The Chordettes,155.79429,Mister Sandman,1950s,Doo-Wop,Drifting and Dreaming
512,Nat King Cole,30.06649,Mona Lisa,1950s,Jazz,The Nat King Cole Story
513,Nat King Cole,268.94667,Too Young,1950s,Jazz,Unforgettable
514,Vera Lynn,157.26667,Auf Wiedersehn Sweetheart,1950s,Pop,We'll Meet Again
515,Tennessee Ernie Ford,156.21288,Sixteen Tons,1950s,Country,16 Tons
516,The Crew Cuts,163.3171,Sh-Boom,1950s,Doo-Wop,Sh-Boom
517,Jerry Lee Lewis,111.17506,Great Balls of Fire,1950s,Rock,Jerry Lee Lewis
518,The Platters,154.56,Only You,1950s,Doo-Wop,The Platters
519,Nat King Cole,30.06649,Unforgettable,1950s,Jazz,The Nat King Cole Story
520,Perry Como,92.69333,Don't Let The Stars Get In Your Eyes,1950s,Pop,Don't Let the Stars Get In Your Eyes
521,Patti Page,181.59583,Tennessee Waltz,1950s,Country,Patti Page's Greatest Hits
522,Elvis Presley,30.06649,Heartbreak Hotel,1950s,Rock,Elvis' Golden Records
523,Doris Day,109.18998,Secret Love,1950s,Pop,Love Me or Leave Me
524,Domenico Modugno,152.88,Volare,1950s,Pop,Ciao, Domenico!
525,Gordon Jenkins & the Weavers,202.25333,Goodnight Irene  Goodnight,1950s,Folk,The Weavers' Greatest Hits
526,Kitty Kallen,89.14998,Little Things Mean a Lot,1950s,Pop,My Coloring Book
527,Elvis Presley,143.61333,Hound Dog,1950s,Rock,Elvis' Golden Records
528,PÍ©rez Prado,147.55955,Cherry Pink,1950s,Latin,Cherry Pink and Apple Blossom White
529,Buddy Holly,30.06649,That'll Be the Day,1950s,Rock,Buddy Holly
530,Paul Anka,172.51156,Diana,1950s,Pop,Diana
531,Elvis Presley,118.33469,All Shook Up,1950s,Rock,Elvis' Golden Records
532,Elvis Presley,159.45247,Don't Be Cruel,1950s,Rock,Elvis' Golden Records
533,Johnnie Ray,184.23873,Cry,1950s,Pop,The Big Beat
534,The Platters,156.07955,Smoke Gets in Your Eyes,1950s,Doo-Wop,The Platters
535,Harry Belafonte,176.33134,The Banana Boat Song,1950s,Calypso,Calypso
536,Tony Bennett,186.27837,Stranger In Paradise,1950s,Jazz,To My Wonderful One
537,Elvis Presley,148.44,A Fool Such As I,1950s,Rock,A Fool Such As I
538,Pat Boone,30.06649,Love Letters in the Sand,1950s,Pop,Pat Boone's Greatest Hits
539,Eddie Fisher,186.34667,I'm Walking Behind You,1950s,Pop,Eddie Fisher's Greatest Hits
540,Les Paul & Mary Ford,63,How High the Moon,1950s,Jazz,The Best of Les Paul and Mary Ford
541,Don Cornell,166.73333,Hold My Hand,1950s,Pop,Most Of All
542,The Platters,198.16,The Great Pretender,1950s,Doo-Wop,The Magic Touch
543,Phil Harris,141.36,The Thing,1950s,Novelty,The Thing
544,Dean Martin,143.00222,Memories Are Made of This,1950s,Pop,This Time I'm Swingin'
545,Teresa Brewer,154.24,Music Music Music,1950s,Pop,Miss Music
546,The Four Aces,182.33333,Love Is A Many Splendoured Thing,1950s,Pop,Songs From The Heart
547,Doris Day,167.74703,Bewitched,1950s,Pop,Day By Night
548,Percy Faith,230.68154,The Song from Moulin Rouge,1950s,Easy Listening,The Song from Moulin Rouge
549,Rosemary Clooney,89.8,Hey There,1950s,Pop,Songs From The Girl Singer
550,The Diamonds,30.06649,Little Darlin‘‰,1950s,Doo-Wop,The Diamonds
551,Jimmy Boyd,152.21655,I Saw Mommy Kissing Santa Claus,1950s,Pop,I Saw Mommy Kissing Santa Claus
552,Patti Page,158.32,(How Much is That) Doggy in the Window,1950s,Pop,The Voice of Patti Page
553,Johnny Horton,178.21342,The Battle of New Orleans,1950s,Country,Johnny Horton's Greatest Hits
554,Dean Martin,185.46327,That's Amore,1950s,Pop,Sleep Warm
555,Frankie Avalon,158.66667,Venus,1950s,Pop,Frankie Avalon
556,The Kalin Twins,25.05098,When,1950s,Pop,When
557,Les Paul & Mary Ford,141.06621,Mockin' Bird Hill,1950s,Jazz,The Hit Makers!
558,The Champs,65.98,Tequila,1950s,Rock,Go Champs Go
559,Paul Anka,25.05098,Lonely Boy,1950s,Pop,Paul Anka Sings His Big 15
560,PÍ©rez Prado,139.62667,Patricia,1950s,Latin,Mambo No. 5: La Plata Sextette
561,Percy Faith,221.28154,Delicado,1950s,Easy Listening,Delicado
562,Chuck Berry,160.93288,Johnny B. Goode,1950s,Rock,Chuck Berry Is On Top
563,Jerry Lee Lewis,265.02667,Whole Lotta Shakin' Goin' On,1950s,Rock,Jerry Lee Lewis
564,The Everly Brothers,131.12499,Bird Dog,1950s,Pop,A Date with The Everly Brothers
565,Guy Mitchell,147.32866,Singing The Blues,1950s,Pop,Singin' the Blues
566,The Everly Brothers,192.80163,All I Have To Do Is Dream,1950s,Pop,A Date with The Everly Brothers
567,Eddie Fisher,153.2,I Need You Now,1950s,Pop,Eddie Fisher's Greatest Hits
568,Perry Como,92.46998,Wanted,1950s,Pop,Wanted
569,Frankie Laine,63.92998,I Believe,1950s,Pop,Frankie Laine's Greatest Hits
570,Bobby Darin,71.68,Dream Lover,1950s,Pop,Dream Lover
571,Kay Starr,180.93333,Wheel Of Fortune,1950s,Pop,Kay Starr's Greatest Hits
572,Cliff Richard,25.05098,Living Doll,1950s,Pop,Cliff
573,The Four Aces,180.60984,Three Coins in a Fountain,1950s,Pop,The Four Aces Sing
574,Rosemary Clooney,168.58667,Half As Much,1950s,Pop,Clap Hands, Here Comes Rosie!
575,Rosemary Clooney,132.10077,Mambo Italiano,1950s,Pop,Clap Hands, Here Comes Rosie!
576,Eddie Fisher,188.33098,Oh My Papa (O Mein Papa),1950s,Pop,Eddie Fisher's Greatest Hits
577,Al Hibbler,86.90998,Unchained Melody,1950s,Pop,Unchained Melody
578,Conway Twitty,147.2,It's Only Make Believe,1950s,Country,It's Only Make Believe
579,Billy Eckstine,183.50667,My Foolish Heart,1950s,Jazz,Billy Eckstine's Imagination
580,Rosemary Clooney,70.82998,This Ole House,1950s,Pop,This Ole House
581,Frank Chacksfield,146.73333,Terry's Theme From 'Limelight',1950s,Easy Listening,Music from Great Film Themes
582,Lloyd Price,146.37859,Personality,1950s,R&B,The Best of Lloyd Price
583,Neil Sedaka,136.37079,Oh Carol,1950s,Pop,Neil Sedaka Sings Little Devil and His Other Hits
584,Elvis Presley,111.75955,Teddy Bear,1950s,Rock,Loving You
585,Chris Barber's Jazz & Blues Band,224.14667,Petite Fleur,1950s,Jazz,Chris Barber's Jazz & Blues Band
586,Tony Bennett,181.56,Because of You,1950s,Jazz,Because of You
587,Johnnie Ray,159.99946,Just Walkin' In The Rain,1950s,Pop,The Best of Johnnie Ray
588,Mario Lanza,210.44,Be My Love,1950s,Classical,Be My Love
589,The Platters,30.06649,My Prayer,1950s,Doo-Wop,The Platters
590,Nat King Cole,163.35937,Pretend,1950s,Jazz,Love Is The Thing
591,Elvis Presley,211.92,Love Me Tender,1950s,Rock,Love Me Tender
592,Debbie Reynolds,189.6127,Tammy,1950s,Soundtrack,The Complete Singles As & Bs 1951-58
593,Tony Bennett,186.46667,Rags To Riches,1950s,Jazz,The Very Thought of You
594,The Everly Brothers,159.99955,Bye Bye Love,1950s,Pop,The Everly Brothers
595,Tommy Edwards,78.5,It's All in the Game,1950s,Pop,It's All in the Game
596,The Browns,162.57333,The Three Bells,1950s,Pop,The Browns Sing Their Hits
597,Carl Perkins,135.97333,Blue Suede Shoes,1950s,Rock,Blue Suede Shoes
598,Dinah Shore,160.85333,Dear Hearts and Gentle People,1950s,Pop,Dinah Shore's Best Friend
599,Little Richard,127.70975,Long Tall Sally,1950s,Rock,Here's Little Richard
600,David Whitfield,194.81333,Cara Mia,1950s,Pop,David Whitfield's Greatest Hits